Loci,Samples,Length,Gap_Ratio,Observed_Res,Entropy,Pi,PD,PD_stem,PD_stem_SD,PD_terminal,PD_terminal_SD,Tree_Res,Total_GC
spacer-psbJ-psbF,13,384,24.0184%,100.0000%,1.00000000,0.17761752,0.05685806,0.01600480,0.00095405,0.04085327,0.00290193,76.9231%,32.9818%
spacer-psbJ-psbL,271,372,63.3784%,99.6310%,0.99908687,0.11406968,0.05251015,0.01271217,0.00005097,0.03979798,0.00013741,70.1107%,35.4425%
spacer-psbK-psbI,280,3097,87.0161%,100.0000%,1.00000000,0.08384830,0.12799994,0.02677603,0.00010093,0.10122391,0.00024930,97.5000%,28.4015%
spacer-psbK-trnG_UCC,2,775,14.9032%,100.0000%,1.00000000,0.40645161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.2176%
spacer-psbK-trnQ_UUG,14,1298,68.3909%,100.0000%,1.00000000,0.19844562,0.17658892,0.02460673,0.00202472,0.15198219,0.00586166,78.5714%,25.1915%
spacer-psbK-trnS_GCU,2,678,40.1180%,100.0000%,1.00000000,0.87168142,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.0640%
spacer-psbL-psbF,263,93,74.0545%,49.8099%,0.74314749,0.07665640,0.02374542,0.01138144,0.00010550,0.01236398,0.00012859,33.4601%,31.7365%
spacer-psbL-psbJ,17,225,36.7582%,100.0000%,1.00000000,0.25366013,0.12028789,0.02983295,0.00141766,0.09045495,0.00278195,76.4706%,33.8983%
spacer-psbM-petN,16,1967,59.4401%,100.0000%,1.00000000,0.40629978,0.25531315,0.03554354,0.00352048,0.21976962,0.00633936,81.2500%,28.0141%
spacer-psbM-trnD,5,1428,34.9020%,100.0000%,1.00000000,0.46995798,0.24681675,0.03482347,0.00168193,0.21199329,0.03015173,40.0000%,30.9165%
spacer-psbM-trnD_GTC,7,1357,39.8147%,100.0000%,1.00000000,0.45917114,0.18755692,0.06397876,0.01038917,0.12357816,0.01128484,57.1429%,32.2897%
spacer-psbM-trnD_GUC,264,4627,79.7094%,100.0000%,1.00000000,0.15544797,0.11448450,0.02112094,0.00007183,0.09336356,0.00024885,98.4848%,31.7376%
spacer-psbM-trnV_GAC,2,1090,27.2018%,100.0000%,1.00000000,0.61376147,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.5608%
spacer-psbM-trnY_GUA,2,1284,16.5109%,100.0000%,1.00000000,0.57632399,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.7369%
spacer-psbN-psbH,253,267,61.0339%,96.4427%,0.98972376,0.09942200,0.03677851,0.00948113,0.00005586,0.02729738,0.00014534,55.7312%,27.6727%
spacer-psbN-psbT,7,109,37.6147%,100.0000%,1.00000000,0.26561817,0.10544347,0.01270504,0.00210513,0.09273843,0.00988877,42.8571%,32.5630%
spacer-psbT-pbf1,33,151,55.6893%,100.0000%,1.00000000,0.23595224,0.09427090,0.02407758,0.00078952,0.07019332,0.00254491,75.7576%,34.3750%
spacer-psbT-psbB,10,297,37.9125%,100.0000%,1.00000000,0.29652076,0.14117168,0.01697363,0.00143587,0.12419805,0.00536848,70.0000%,34.2191%
spacer-psbT-psbH,5,330,22.0606%,100.0000%,1.00000000,0.40727273,0.24075713,0.01059112,0.00390159,0.23016601,0.07678184,40.0000%,36.2364%
spacer-psbT-psbN,253,237,72.9591%,93.6759%,0.97389260,0.08501889,0.05184066,0.01803168,0.00008945,0.03380898,0.00016576,60.4743%,34.7909%
spacer-psbZ-trnA_GGC,2,444,5.0676%,100.0000%,1.00000000,0.29054054,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,23.1317%
spacer-psbZ-trnG,5,601,30.3494%,100.0000%,1.00000000,0.56222962,0.34769866,0.03721485,0.00241782,0.31048381,0.03492711,40.0000%,23.1725%
spacer-psbZ-trnG_GCC,219,3510,88.8523%,100.0000%,1.00000000,0.11242401,0.15796568,0.04012162,0.00016816,0.11784406,0.00039688,96.3470%,25.9730%
spacer-psbZ-trnG_UCC,43,1689,76.9480%,100.0000%,1.00000000,0.22247662,0.21048538,0.04383778,0.00110752,0.16664761,0.00305417,88.3721%,25.5047%
spacer-psbZ-trnS,2,405,9.0123%,100.0000%,1.00000000,0.44691358,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.3786%
spacer-psbZ-trnS_UGA,11,494,31.5789%,100.0000%,1.00000000,0.33584836,0.16099131,0.03065260,0.00359670,0.13033871,0.00398754,72.7273%,34.1313%
spacer-rbcL-accD,263,6802,89.4187%,100.0000%,1.00000000,0.07406586,0.11077740,0.02319148,0.00007954,0.08758591,0.00025643,97.3384%,29.5706%
spacer-rbcL-atpB,22,1943,58.9786%,100.0000%,1.00000000,0.22238784,0.16483497,0.02433600,0.00115050,0.14049897,0.00455564,86.3636%,29.1645%
spacer-rbcL-psaI,4,1392,25.2874%,100.0000%,1.00000000,0.60464559,0.52510752,0.03432659,0.00000000,0.49078093,0.04310939,25.0000%,30.4808%
spacer-rbcL-trnV_UAC,3,668,28.3433%,100.0000%,1.00000000,0.67714571,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,28.5515%
spacer-rpl14-rpl16,290,829,84.0888%,100.0000%,1.00000000,0.09527893,0.12067669,0.02985063,0.00010332,0.09082606,0.00026143,87.5862%,27.1280%
spacer-rpl14-rps3,3,1952,9.5458%,100.0000%,1.00000000,0.29081284,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.4718%
spacer-rpl14-rps8,12,306,42.8105%,100.0000%,1.00000000,0.41755793,0.30564475,0.04936550,0.00400542,0.25627926,0.01571759,75.0000%,24.0476%
spacer-rpl16-rpl14,11,174,28.3177%,100.0000%,1.00000000,0.46363636,0.30227727,0.04156147,0.00412897,0.26071580,0.01773238,72.7273%,27.6239%
spacer-rpl16-rps3,289,4813,94.2312%,100.0000%,1.00000000,0.06690996,0.12639934,0.02726312,0.00010224,0.09913622,0.00025276,91.3495%,27.6227%
spacer-rpl2-rpl23,267,1320,96.9198%,26.9663%,0.44685583,0.03666715,0.01717350,0.00654301,0.00008847,0.01063049,0.00014206,22.0974%,32.0836%
spacer-rpl2-rps19,8,541,75.4159%,100.0000%,1.00000000,0.30360444,0.18659847,0.03708662,0.00600785,0.14951185,0.02578404,50.0000%,34.3985%
spacer-rpl2-trnH_GUG,7,971,75.8717%,100.0000%,1.00000000,0.37143838,0.35837567,0.05702039,0.00404492,0.30135528,0.04069194,57.1429%,29.3293%
spacer-rpl2-trnI_CAU,11,541,30.5663%,100.0000%,1.00000000,0.38648967,0.05525359,0.00438542,0.00029142,0.05086818,0.00460456,63.6364%,36.0842%
spacer-rpl2-trnM_CAU,2,986,14.4523%,100.0000%,1.00000000,0.50811359,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.6023%
spacer-rpl20-clpP,2,1033,22.2168%,100.0000%,1.00000000,0.72700871,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,27.4424%
spacer-rpl20-rps12,286,3020,74.3425%,100.0000%,1.00000000,0.09056945,0.06661757,0.01289457,0.00004172,0.05372300,0.00012905,98.6014%,33.2983%
spacer-rpl20-rps18,13,413,38.3684%,100.0000%,1.00000000,0.42785745,0.26369236,0.03694954,0.00551287,0.22674282,0.01136153,69.2308%,32.0641%
spacer-rpl22-rpl2,3,481,32.7096%,100.0000%,1.00000000,0.57519058,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.3512%
spacer-rpl22-rps19,275,1765,95.1598%,98.5455%,0.99607123,0.05479709,0.14941137,0.04901535,0.00020684,0.10039602,0.00035222,82.5455%,24.0242%
spacer-rpl22-rps3,4,115,59.1304%,100.0000%,1.00000000,0.56231884,0.31446297,0.02992320,0.00000000,0.28453977,0.04309875,25.0000%,25.0000%
spacer-rpl22-trnH_GUG,6,611,40.3983%,100.0000%,1.00000000,0.54849973,0.45798194,0.11521112,0.02247101,0.34277082,0.05002794,50.0000%,30.1144%
spacer-rpl23-rpl2,10,1188,88.4512%,60.0000%,0.65051500,0.20248784,0.09392665,0.01960912,0.00540909,0.07431752,0.01834125,30.0000%,35.7872%
spacer-rpl23-trnH_GUG,2,1526,25.0328%,100.0000%,1.00000000,0.79816514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.3741%
spacer-rpl23-trnI,3,168,2.7778%,100.0000%,1.00000000,0.04365079,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,36.3265%
spacer-rpl23-trnI_CAU,218,1231,86.0399%,80.7339%,0.91765876,0.02873519,0.02626312,0.00432398,0.00005425,0.02193914,0.00025754,38.5321%,34.9144%
spacer-rpl23-trnM_CAT,8,199,15.0126%,100.0000%,1.00000000,0.19867193,0.05620407,0.02486980,0.00519241,0.03133427,0.00780932,50.0000%,34.2203%
spacer-rpl23-trnM_CAU,42,1130,82.9751%,90.4762%,0.96134321,0.06633674,0.03691345,0.00389685,0.00018016,0.03301661,0.00179117,50.0000%,34.3936%
spacer-rpl23-ycf2,2,2197,42.8084%,100.0000%,1.00000000,0.89804279,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.2065%
spacer-rpl32-ndhF,26,2050,60.8068%,100.0000%,1.00000000,0.40149794,0.29184996,0.04907573,0.00154809,0.24277424,0.00509751,88.4615%,23.3066%
spacer-rpl32-trnL,4,1737,38.0541%,100.0000%,1.00000000,0.57100365,0.35172891,0.03222084,0.00000000,0.31950807,0.05050964,25.0000%,22.7230%
spacer-rpl32-trnL_TAG,7,1656,51.1473%,100.0000%,1.00000000,0.52090522,0.39469486,0.08481870,0.02418607,0.30987616,0.03664716,57.1429%,23.9626%
spacer-rpl32-trnL_UAG,226,6077,85.6979%,100.0000%,1.00000000,0.15151985,0.20529722,0.04713970,0.00021297,0.15815752,0.00042438,98.2301%,25.1663%
spacer-rpl32-trnUNKNOWN_CUA,2,1064,23.9662%,100.0000%,1.00000000,0.68421053,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.1261%
spacer-rpl33-psaJ,14,659,30.4140%,100.0000%,1.00000000,0.39687172,0.23965200,0.04139179,0.00234219,0.19826021,0.00885987,78.5714%,30.6075%
spacer-rpl33-rps18,286,3582,93.6530%,100.0000%,1.00000000,0.06328872,0.14310477,0.03775394,0.00012124,0.10535083,0.00027079,93.0070%,24.8201%
spacer-rpl36-infA,217,601,80.8537%,100.0000%,1.00000000,0.09068255,0.09443319,0.02107715,0.00012225,0.07335604,0.00031729,78.3410%,29.4774%
spacer-rpl36-rps11,10,205,42.7805%,100.0000%,1.00000000,0.31934959,0.26050619,0.02178451,0.00135438,0.23872167,0.03378686,70.0000%,28.9003%
spacer-rpl36-rps8,73,1571,73.0727%,100.0000%,1.00000000,0.18705402,0.18228200,0.02741630,0.00033690,0.15486570,0.00137252,94.5205%,30.6952%
spacer-rpoA-petD,10,344,40.3198%,100.0000%,1.00000000,0.34509044,0.15162928,0.01933883,0.00188533,0.13229045,0.00609792,70.0000%,27.8617%
spacer-rpoA-rps11,283,437,84.0431%,97.1731%,0.99219068,0.06016071,0.06523227,0.02003259,0.00007566,0.04519968,0.00017862,65.3710%,20.4875%
spacer-rpoB-petN,2,2341,23.9641%,100.0000%,1.00000000,0.73515592,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.1910%
spacer-rpoB-rpoc1,16,61,58.9139%,93.7500%,0.96875000,0.29918033,0.14403501,0.04165151,0.00735293,0.10238350,0.00710834,50.0000%,21.9451%
spacer-rpoB-trnA_UGC,2,1167,5.5698%,100.0000%,1.00000000,0.22365039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.8149%
spacer-rpoB-trnC,5,1503,21.9960%,100.0000%,1.00000000,0.43000665,0.19260778,0.02549975,0.00368919,0.16710803,0.01580471,40.0000%,28.4203%
spacer-rpoB-trnC_GCA,270,10134,88.3733%,100.0000%,1.00000000,0.07681050,0.10944654,0.02132207,0.00007991,0.08812447,0.00019885,98.8889%,28.9123%
spacer-rpoc1-rpoB,282,734,96.5046%,50.3546%,0.74621635,0.02169400,0.03928662,0.01616286,0.00013932,0.02312377,0.00023559,40.4255%,29.2191%
spacer-rpoc1-rpoc2,15,772,73.2297%,100.0000%,1.00000000,0.20870960,0.18919930,0.03000031,0.00245047,0.15919900,0.00868230,73.3333%,36.0645%
spacer-rpoc2-rpoB,2,3020,41.1424%,100.0000%,1.00000000,0.88708609,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,37.2152%
spacer-rpoc2-rpoc1,282,1414,87.7915%,100.0000%,1.00000000,0.05327472,0.07508042,0.01495830,0.00006386,0.06012212,0.00018425,80.1418%,39.0399%
spacer-rpoc2-rps2,15,445,45.4831%,100.0000%,1.00000000,0.34176565,0.24229244,0.04449573,0.00271488,0.19779671,0.00749996,80.0000%,31.1349%
spacer-rps11-rpl36,289,954,86.7355%,100.0000%,1.00000000,0.07166957,0.09217595,0.02591926,0.00008459,0.06625668,0.00019509,81.6609%,26.6085%
spacer-rps11-rpoA,10,112,35.8929%,100.0000%,1.00000000,0.26726190,0.14080451,0.02969923,0.00361344,0.11110528,0.00875924,70.0000%,19.9164%
spacer-rps14-psaB,286,870,84.8634%,99.6503%,0.99914300,0.06066283,0.07035729,0.01622291,0.00006894,0.05413438,0.00016773,74.4755%,33.6856%
spacer-rps14-trnfM_CAU,10,188,17.6064%,100.0000%,1.00000000,0.35744681,0.20223136,0.02863662,0.00301509,0.17359474,0.01422389,60.0000%,35.7005%
spacer-rps14-trnM_CAU,3,179,11.5456%,100.0000%,1.00000000,0.30167598,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,35.5789%
spacer-rps15-ndhF,3,869,50.5946%,100.0000%,1.00000000,0.62869198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.6273%
spacer-rps15-ndhH,37,260,58.1809%,100.0000%,1.00000000,0.22107877,0.13507944,0.02843336,0.00072241,0.10664608,0.00260577,86.4865%,25.9259%
spacer-rps15-rpl32,3,2433,54.5143%,100.0000%,1.00000000,0.71146732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,31.8072%
spacer-rps15-trnN_GUU,10,9778,53.1356%,100.0000%,1.00000000,0.47919138,0.25453957,0.03448783,0.00199762,0.22005174,0.01019152,70.0000%,30.5451%
spacer-rps15-ycf1,230,6046,93.1419%,100.0000%,1.00000000,0.06252958,0.16483544,0.03752600,0.00016903,0.12730944,0.00034570,96.5217%,25.9450%
spacer-rps16-psbK,2,739,38.7686%,100.0000%,1.00000000,0.83220568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.7459%
spacer-rps16-trnK_UUU,6,1334,37.3563%,100.0000%,1.00000000,0.50209895,0.25057597,0.04060985,0.00516448,0.20996612,0.01198457,50.0000%,25.5684%
spacer-rps16-trnL_CAA,2,639,14.2410%,100.0000%,1.00000000,0.41314554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,25.7299%
spacer-rps16-trnQ,5,1467,34.8875%,100.0000%,1.00000000,0.58950239,0.37541493,0.04720619,0.01685022,0.32820874,0.02527654,40.0000%,26.4447%
spacer-rps16-trnQ_TTG,7,2321,50.3785%,100.0000%,1.00000000,0.50879137,0.39832765,0.11540656,0.01489355,0.28292109,0.02390910,57.1429%,28.1816%
spacer-rps16-trnQ_UUG,235,8976,87.1017%,100.0000%,1.00000000,0.15263843,0.20584684,0.04889478,0.00020559,0.15695206,0.00045839,98.2979%,28.1181%
spacer-rps18-rpl20,286,1749,85.1086%,100.0000%,1.00000000,0.09505484,0.11090437,0.02499641,0.00008702,0.08590796,0.00022118,93.7063%,31.3677%
spacer-rps18-rpl33,15,539,55.1763%,100.0000%,1.00000000,0.41558442,0.30167649,0.04734582,0.00233610,0.25433067,0.01076906,80.0000%,23.0408%
spacer-rps19-psbA,2,329,31.9149%,100.0000%,1.00000000,0.72036474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.3393%
spacer-rps19-rpl2,227,7055,98.0823%,100.0000%,1.00000000,0.02436885,0.08140634,0.02546045,0.00012477,0.05594589,0.00031739,75.3304%,33.3306%
spacer-rps19-rpl22,7,177,57.3850%,100.0000%,1.00000000,0.42211461,0.37621576,0.05306035,0.00518536,0.32315542,0.02357331,57.1429%,27.0833%
spacer-rps19-rpl23,4,1602,35.9395%,100.0000%,1.00000000,0.57667499,0.05261159,0.00231475,0.00000000,0.05029684,0.01262573,25.0000%,41.2911%
spacer-rps19-trnH_GUG,54,810,80.1143%,98.1481%,0.99356425,0.11040281,0.09232777,0.01757424,0.00079738,0.07475353,0.00224692,61.1111%,29.3861%
spacer-rps2-atpI,15,412,44.2880%,100.0000%,1.00000000,0.31865465,0.18675401,0.03744144,0.00333879,0.14931257,0.00677920,73.3333%,26.3143%
spacer-rps2-rpoc2,283,8060,96.6832%,100.0000%,1.00000000,0.02585379,0.10355495,0.02312948,0.00008728,0.08042546,0.00019714,91.8728%,32.5276%
spacer-rps2-trnC_GCA,2,1044,38.7931%,100.0000%,1.00000000,0.89655172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.6557%
spacer-rps3-rpl16,10,1353,70.4878%,100.0000%,1.00000000,0.39472777,0.30865018,0.02029123,0.00121782,0.28835894,0.01720592,70.0000%,30.3281%
spacer-rps3-rpl22,170,1255,93.8345%,93.5294%,0.96820113,0.08082521,0.16143258,0.05050067,0.00037859,0.11093190,0.00078414,77.6471%,23.5594%
spacer-rps3-rps19,11,1013,48.7930%,100.0000%,1.00000000,0.41678184,0.27174196,0.03634654,0.00380275,0.23539542,0.01385026,72.7273%,29.9509%
spacer-rps4-trnC_ACA,2,397,4.7859%,100.0000%,1.00000000,0.21662469,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,22.7513%
spacer-rps4-trnS_GCU,2,272,38.6029%,100.0000%,1.00000000,0.89338235,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,33.8323%
spacer-rps4-trnS_GGA,14,607,48.7762%,100.0000%,1.00000000,0.35316907,0.29723124,0.03048899,0.00200556,0.26674225,0.01652628,78.5714%,33.3793%
spacer-rps4-trnT,6,621,34.8631%,100.0000%,1.00000000,0.38497048,0.22034873,0.03533436,0.00641886,0.18501437,0.01794410,50.0000%,24.4335%
spacer-rps4-trnT_TGT,8,511,28.8160%,100.0000%,1.00000000,0.44604417,0.20359873,0.05712130,0.00733232,0.14647743,0.01264880,62.5000%,25.6357%
spacer-rps4-trnT_UGU,267,3259,88.4518%,100.0000%,1.00000000,0.08790592,0.12047162,0.02759678,0.00009387,0.09287484,0.00024570,95.8801%,24.8704%
spacer-rps7-ndhB,10,440,26.4091%,100.0000%,1.00000000,0.19398990,0.03394562,0.00988581,0.00144306,0.02405981,0.00186560,60.0000%,34.8054%
spacer-rps7-rps12,2,53,3.7736%,100.0000%,1.00000000,0.20754717,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,32.3529%
spacer-rps7-trnD_GUC,2,2800,3.9643%,100.0000%,1.00000000,0.10464286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,38.7505%
spacer-rps7-trnL_CAA,6,3687,37.8221%,100.0000%,1.00000000,0.53338758,0.21638924,0.00860426,0.00260984,0.20778498,0.03325132,50.0000%,36.2050%
spacer-rps7-trnV,3,2796,8.1426%,100.0000%,1.00000000,0.14556509,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.5847%
spacer-rps7-trnV_GAC,264,7837,66.9860%,100.0000%,1.00000000,0.07429306,0.01929208,0.00385718,0.00001869,0.01543490,0.00006845,92.0455%,39.7658%
spacer-rps7-ycf15,16,2069,14.1826%,100.0000%,1.00000000,0.12724343,0.02318935,0.00422638,0.00024689,0.01896296,0.00064629,75.0000%,38.8715%
spacer-rps8-infA,7,202,31.6832%,100.0000%,1.00000000,0.54761905,0.38000112,0.06129764,0.01061650,0.31870348,0.04238799,57.1429%,32.0911%
spacer-rps8-rpl14,292,1915,89.8503%,100.0000%,1.00000000,0.07221559,0.12707590,0.03035194,0.00009015,0.09672396,0.00023818,92.1233%,23.0588%
spacer-rps8-rpl36,4,540,37.8704%,100.0000%,1.00000000,0.61975309,0.32468129,0.04421630,0.00000000,0.28046499,0.06588637,25.0000%,31.9672%
spacer-rrn16-rrn23,3,3113,48.2921%,100.0000%,1.00000000,0.59920762,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.4044%
spacer-rrn16-trnD_AUC,2,306,1.3072%,100.0000%,1.00000000,0.06862745,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,51.9868%
spacer-rrn16-trnE_UUC,5,315,5.5238%,100.0000%,1.00000000,0.11619048,0.05029402,0.00211536,0.00041494,0.04817866,0.00464674,40.0000%,51.4785%
spacer-rrn16-trnI,18,347,14.4573%,100.0000%,1.00000000,0.11595186,0.03963931,0.00883451,0.00036033,0.03080480,0.00112385,72.2222%,50.9639%
spacer-rrn16-trnI_GAT,6,320,7.1354%,100.0000%,1.00000000,0.10812500,0.02763857,0.01127745,0.00335808,0.01636112,0.00268958,50.0000%,51.9910%
spacer-rrn16-trnI_GAU,232,837,64.6933%,99.1379%,0.99780588,0.05620135,0.02469378,0.00553454,0.00003266,0.01915923,0.00011437,68.1034%,51.0487%
spacer-rrn16-trnV_GAC,10,264,19.2424%,100.0000%,1.00000000,0.26531987,0.09630728,0.01838331,0.00263571,0.07792397,0.00926646,70.0000%,43.0113%
spacer-rrn23-rrn4,258,355,71.5296%,78.6822%,0.91522865,0.03599326,0.01352803,0.00392384,0.00004074,0.00960419,0.00009626,34.8837%,57.6469%
spacer-rrn23-rrn5,5,478,22.5523%,100.0000%,1.00000000,0.35669456,0.02371198,0.00254933,0.00002263,0.02116265,0.00412273,40.0000%,50.2971%
spacer-rrn23-trnA,3,173,7.8998%,100.0000%,1.00000000,0.12524085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.7950%
spacer-rrn23-trnA_TGC,2,157,1.5924%,100.0000%,1.00000000,0.03821656,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,44.0129%
spacer-rrn23-trnA_UGC,15,190,18.1053%,100.0000%,1.00000000,0.13744361,0.04380890,0.00945615,0.00054222,0.03435275,0.00267649,46.6667%,41.6452%
spacer-rrn23-trnI,2,1199,45.7048%,100.0000%,1.00000000,0.93661384,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,47.7727%
spacer-rrn4-rrn23,15,104,7.1154%,100.0000%,1.00000000,0.13351648,0.03991037,0.00899607,0.00081258,0.03091430,0.00188412,46.6667%,57.6259%
spacer-rrn4-rrn5,257,772,69.3786%,98.0545%,0.99416752,0.06440741,0.02133056,0.00378194,0.00002247,0.01754862,0.00009969,48.2490%,45.3485%
spacer-rrn5-ndhF,2,687,43.8137%,100.0000%,1.00000000,0.92867540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.0363%
spacer-rrn5-rrn4,16,306,24.5507%,100.0000%,1.00000000,0.22696078,0.06004192,0.00905975,0.00156616,0.05098217,0.00455422,62.5000%,44.4775%
spacer-rrn5-trnR,3,278,8.1535%,100.0000%,1.00000000,0.18465228,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,40.9922%
spacer-rrn5-trnR_ACG,254,659,62.2519%,99.6063%,0.99901435,0.08092861,0.02820134,0.00665921,0.00002883,0.02154213,0.00008463,66.1417%,41.3848%
spacer-rrn5-trnT_CGU,2,255,1.5686%,100.0000%,1.00000000,0.06274510,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,39.8406%
spacer-trnA-rrn23,4,167,6.2874%,100.0000%,1.00000000,0.06786427,0.00986730,0.00326765,0.00000000,0.00659965,0.00164981,25.0000%,41.2141%
spacer-trnA-trnI_GAU,2,1009,46.8285%,100.0000%,1.00000000,0.93954410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,48.6486%
spacer-trnA_AGC-trnS_GGA,2,915,20.2186%,100.0000%,1.00000000,0.55846995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.5753%
spacer-trnA_GGC-trnfM_AUG,2,142,1.7606%,100.0000%,1.00000000,0.17605634,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.4659%
spacer-trnA_TGC-rrn23,5,182,12.7473%,100.0000%,1.00000000,0.15879121,0.03143663,0.00458105,0.00063535,0.02685558,0.00495057,40.0000%,42.0655%
spacer-trnA_UGC-a6,2,145,0.0000%,100.0000%,1.00000000,0.05517241,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,43.1034%
spacer-trnA_UGC-petN,2,735,4.2857%,100.0000%,1.00000000,0.21904762,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,34.8259%
spacer-trnA_UGC-rrn23,245,1507,88.7911%,91.8367%,0.97465425,0.03480208,0.01909179,0.00493457,0.00003359,0.01415722,0.00009162,51.8367%,42.7425%
spacer-trnA_UGC-trnI_GAU,16,990,87.7715%,87.5000%,0.93750000,0.12500000,0.03761821,0.00753408,0.00043428,0.03008414,0.00282954,25.0000%,51.2132%
spacer-trnC-petN,5,1046,35.4876%,100.0000%,1.00000000,0.52695985,0.20211320,0.02004978,0.00161206,0.18206342,0.02068338,40.0000%,32.5133%
spacer-trnC_ACA-trnM_CAU,3,186,2.8674%,100.0000%,1.00000000,0.24014337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,29.7048%
spacer-trnC_ACA-trnUNKNOWN_UUA,2,1047,11.0793%,100.0000%,1.00000000,0.40019102,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,21.1063%
spacer-trnC_GCA-petN,272,4973,84.6898%,100.0000%,1.00000000,0.13018868,0.12714940,0.02624852,0.00010709,0.10090088,0.00023948,97.4265%,33.7016%
spacer-trnC_GCA-rpoB,14,2307,49.4148%,100.0000%,1.00000000,0.42079767,0.31409143,0.05719803,0.00534619,0.25689340,0.00897410,78.5714%,27.4513%
spacer-trnC_GCA-rps18,2,527,14.9905%,100.0000%,1.00000000,0.66982922,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.4688%
spacer-trnC_GCA-rrn23,2,157,1.5924%,100.0000%,1.00000000,0.04458599,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,41.7476%
spacer-trnC_GCA-trnD_GUC,2,702,47.9345%,100.0000%,1.00000000,0.97150997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,30.3694%
spacer-trnC_GCA-trnT_GGU,2,1301,9.8386%,100.0000%,1.00000000,0.54650269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,26.4706%
spacer-trnD-trnY,5,538,18.2156%,100.0000%,1.00000000,0.44460967,0.24484301,0.03049517,0.00178972,0.21434785,0.02091481,40.0000%,30.0455%
spacer-trnD_AUC-trnC_GCA,2,64,0.0000%,100.0000%,1.00000000,0.01562500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.0000%,51.5625%
spacer-trnD_GTC-trnY_GTA,8,605,30.9917%,100.0000%,1.00000000,0.51942149,0.23856051,0.07632584,0.00984638,0.16223467,0.01123378,50.0000%,30.2994%
spacer-trnD_GUC-psbM,16,2034,57.3869%,100.0000%,1.00000000,0.37244346,0.25439443,0.03674868,0.00186042,0.21764575,0.00518561,81.2500%,31.5474%
